Tm,QB,RB,Y/P,Passing Y/A,Rushing Y/A,Pass Defense Ranking,Rush Defense Ranking,Passer Rating,Rusher YPG,Rusher YPC
49ers,Colin Kaepernick,Frank Gore,5.0,5.7,3.9,9,8,91.6,70.5,4.1
Bears,Jay Cutler,Matt Forte,6.2,6.9,5.3,27,32,89.2,83.7,4.6
Bengals,Andy Dalton,BenJarvus Green-Ellis,4.7,5.1,4.0,2,13,88.8,47.3,3.4
Bills,EJ Manuel,Fred Jackson,4.9,5.3,4.4,3,23,77.7,55.6,4.3
Broncos,Peyton Manning,Knowshon Moreno,5.3,6.2,3.9,17,9,115.1,64.9,4.3
Browns,Jason Campbell,Willis McGahee,4.8,5.5,3.9,6,10,76.9,31.4,2.7
Buccaneers,Mike Glennon,Bobby Rainey,5.5,6.5,4.0,21,15,83.9,37.7,3.8
Cardinals,Carson Palmer,Rashard Mendenhall,4.9,5.5,3.7,5,2,83.9,45.8,3.2
Chargers,Philip Rivers,Ryan Mathews,6.1,7.1,4.6,30,28,105.5,78.4,4.4
Chiefs,Alex Smith,Jamaal Charles,5.5,6.2,4.5,14,24,89.1,85.8,5.0
Colts,Andrew Luck,Trent Richardson,5.6,6.4,4.5,19,25,87.0,35.2,3.0
Cowboys,Tony Romo,DeMarco Murray,6.1,7.0,4.7,28,30,96.7,80.1,5.2
Dolphins,Ryan Tannehill,Lamar Miller,5.2,6.0,4.1,11,18,81.7,44.3,4.0
Eagles,Nick Foles,LeSean McCoy,5.5,6.6,3.8,22,5,119.2,100.4,5.1
Falcons,Matt Ryan,Steven Jackson,6.1,7.1,4.8,31,31,89.6,45.3,3.5
Giants,Eli Manning,Andre Brown,4.9,5.6,3.8,8,6,69.4,61.5,3.5
Jaguars,Chad Henne,Maurice Jones-Drew,5.6,6.8,4.2,26,20,76.5,53.5,3.4
Jets,Geno Smith,Chris Ivory,5.1,6.3,3.4,18,1,66.5,55.5,4.6
Lions,Matthew Stafford,Reggie Bush,5.6,6.5,4.2,20,19,84.2,71.9,4.5
Packers,Aaron Rodgers,Eddie Lacy,5.9,6.8,4.6,25,29,104.9,78.5,4.1
Panthers,Cam Newton,DeAngelo Williams,4.9,5.5,4.0,4,12,88.8,56.2,4.2
Patriots,Tom Brady,Stevan Ridley,5.3,6.0,4.5,12,26,87.3,55.2,4.3
Raiders,Terrelle Pryor,Rashad Jennings,5.7,7.0,3.9,29,11,69.1,48.9,4.5
Rams,Sam Bradford,Zac Stacy,5.4,6.7,3.7,23,3,90.9,69.5,3.9
Ravens,Joe Flacco,Ray Rice,5.2,6.2,3.8,15,4,73.1,44.0,3.1
Redskins,Robert Griffin III,Alfred Morris,5.7,7.1,4.0,32,16,82.2,79.7,4.6
Saints,Drew Brees,Pierre Thomas,5.2,5.6,4.6,7,27,104.7,34.3,3.7
Seahawks,Russell Wilson,Marshawn Lynch,4.4,4.8,3.9,1,7,101.2,78.6,4.2
Steelers,Ben Roethlisberger,Le'Veon Bell,5.2,5.9,4.3,10,21,92.0,66.2,3.5
Texans,Matt Schaub,Ben Tate,5.2,6.1,4.3,13,22,73.0,55.1,4.3
Titans,Ryan Fitzpatrick,Chris Johnson,5.3,6.2,4.0,16,14,82.0,67.3,3.9
Vikings,Matt Cassel,Adrian Peterson,5.6,6.7,4.0,24,17,81.6,90.4,4.5
